i,loss,time
7550,0.6998326063156128,133.1842029094696
7575,0.5524897336959839,133.60452222824097
7600,0.6795118761062622,134.027446269989
7625,0.7370967936515808,134.49347686767578
7650,0.7135864639282227,134.94818210601807
7675,0.926291241645813,135.3766541481018
7700,0.67589759349823,135.79437518119812
7725,0.7028249406814575,136.25081658363342
7750,0.6732406091690063,136.68942379951477
7775,0.6295665931701661,137.1304066181183
7800,0.6638958597183228,137.56052350997925
7825,0.7392367959022522,138.01291823387146
7850,0.7053679323196411,138.4580545425415
7875,0.6664236474037171,138.89126992225647
7900,0.7012467122077942,139.30953216552734
7925,0.8142487335205079,139.7649507522583
7950,0.7388934016227722,140.19047236442566
7975,0.5881875538825989,140.63078474998474
8000,0.719952335357666,141.0705108642578
8025,0.7562731575965881,141.52698945999146
8050,0.6700186800956726,141.95540118217468
8075,0.6302315998077392,142.38433241844177
8100,0.8954426884651184,142.82290935516357
8125,0.6710792350769043,143.27565026283264
8150,0.5879068160057068,143.71923279762268
8175,0.8223550057411194,144.17024564743042
8200,0.7373686385154724,144.61095261573792
8225,0.6729057931900024,145.07648134231567
8250,0.7014909052848816,145.4866979122162
8275,0.8143695998191833,145.9093201160431
8300,0.745200228691101,146.32991647720337
8325,0.7429393911361695,146.7907886505127
8350,0.7038326787948609,147.21438336372375
8375,0.7038563561439514,147.6467559337616
8400,0.8153466820716858,148.07249546051025
8425,0.7053391575813294,148.53425645828247
8450,0.7066174817085266,148.9693944454193
8475,0.6980445790290832,149.40236592292786
8500,0.7034607744216919,149.8179874420166
8525,0.7765472316741944,150.26774549484253
8550,0.627344217300415,150.6986334323883
8575,0.7448092889785767,151.14790511131287
8600,0.6617203640937805,151.57354521751404
8625,0.7032314252853393,152.00440502166748
8650,0.7014248752593994,152.42198705673218
8675,0.6618267178535462,152.84576892852783
8700,0.7428084540367127,153.26071453094482
8725,0.7048909378051758,153.71558499336243
8750,0.6980895757675171,154.14118480682373
8775,0.6645014572143555,154.58067512512207
8800,0.8242056965827942,154.99851369857788
8825,0.6649190044403076,155.45623064041138
8850,0.6670106935501099,155.86621189117432
8875,0.6285177898406983,156.2922444343567
8900,0.6278696060180664,156.7130901813507
8925,0.8542501997947692,157.16728162765503
8950,0.6636856913566589,157.5956802368164
8975,0.7393480205535888,158.02790188789368
9000,0.6251673913002014,158.45669627189636
9025,0.6305048537254333,158.91161513328552
9050,0.7490491080284118,159.32381772994995
9075,0.6677578830718994,159.75557780265808
9100,0.626707513332367,160.17815494537354
9125,0.7419593334197998,160.62156319618225
9150,0.6984599924087525,161.0485987663269
9175,0.5891889643669128,161.4889805316925
9200,0.7448370575904846,161.91054844856262
9225,0.5881436204910279,162.3674397468567
9250,0.7471444296836853,162.7823405265808
9275,0.8623162937164307,163.2043673992157
9300,0.6685906171798706,163.6409351825714
9325,0.6286873435974121,164.0887598991394
9350,0.6295966839790345,164.5086545944214
9375,0.702437481880188,164.96039843559265
9400,0.7443626952171326,165.36307644844055
9425,0.7400497937202454,165.815771818161
9450,0.7794699239730835,166.2375226020813
9475,0.8181770658493042,166.6665699481964
9500,0.8147977375984192,167.07553601264954
9525,0.7045865821838379,167.5494213104248
9550,0.7050726246833802,167.9833402633667
9575,0.8531775808334351,168.4465672969818
9600,0.7014024519920349,168.92763090133667
9625,0.7837155866622925,169.46026515960693
9650,0.6260172629356384,169.88915991783142
9675,0.8170720148086548,170.32251906394958
9700,0.7761972975730896,170.7460060119629
9725,0.6718611526489258,171.18453311920166
9750,0.7425998759269714,171.60023832321167
9775,0.7908473658561707,172.02538418769836
9800,0.8171078276634216,172.44267559051514
9825,0.8108391070365906,172.88915467262268
9850,0.6262735223770142,173.2949776649475
9875,0.7566864824295044,173.72863745689392
9900,0.7436563110351563,174.14930748939514
9925,0.6253601503372193,174.58070611953735
9950,0.7004226684570313,174.98258233070374
9975,0.701781108379364,175.39794635772705
10000,0.6258196711540223,175.8095166683197
10025,0.6637128496170044,176.25995922088623
10050,0.8117323541641235,176.68618249893188
